iter	Passed	Remaining
0	3	1915
1	8	2094
2	11	1945
3	15	1865
4	18	1826
5	22	1821
6	25	1792
7	28	1775
8	32	1754
9	35	1743
10	38	1720
11	41	1706
12	45	1696
13	48	1676
14	52	1709
15	56	1696
16	59	1684
17	62	1684
18	66	1690
19	70	1686
20	73	1676
21	76	1660
22	79	1654
23	84	1682
24	87	1670
25	91	1668
26	95	1664
27	99	1677
28	103	1676
29	107	1677
30	111	1688
31	115	1684
32	118	1676
33	122	1682
34	126	1674
35	130	1682
36	135	1693
37	138	1683
38	141	1673
39	145	1668
40	148	1657
41	150	1645
42	153	1636
43	157	1629
44	161	1631
45	164	1623
46	167	1617
47	171	1610
48	173	1600
49	177	1593
50	180	1589
51	183	1583
52	187	1581
53	191	1582
54	195	1578
55	198	1570
56	201	1565
57	205	1563
58	208	1560
59	212	1556
60	215	1551
61	218	1545
62	222	1542
63	227	1550
64	231	1548
65	234	1540
66	237	1537
67	241	1532
68	244	1526
69	248	1524
70	252	1523
71	255	1518
72	259	1517
73	262	1513
74	267	1515
75	271	1511
76	274	1507
77	277	1502
78	281	1501
79	284	1495
80	288	1490
81	291	1488
82	295	1483
83	299	1483
84	302	1478
85	308	1482
86	311	1480
87	315	1476
88	319	1473
89	322	1469
90	326	1465
91	330	1463
92	334	1461
93	337	1456
94	341	1456
95	345	1454
96	348	1449
97	352	1446
98	356	1442
99	359	1437
100	362	1431
101	366	1429
102	369	1424
103	373	1421
104	376	1417
105	379	1412
106	383	1406
107	386	1403
108	389	1398
109	394	1397
110	397	1392
111	401	1391
112	404	1386
113	408	1381
114	411	1378
115	416	1378
116	420	1375
117	423	1370
118	426	1365
119	429	1361
120	433	1357
121	436	1353
122	440	1350
123	445	1350
124	449	1347
125	452	1344
126	456	1339
127	460	1337
128	463	1332
129	467	1330
130	471	1327
131	476	1327
132	480	1326
133	484	1322
134	488	1319
135	491	1314
136	495	1311
137	498	1307
138	502	1304
139	505	1300
140	509	1296
141	513	1294
142	516	1289
143	519	1285
144	523	1280
145	526	1275
146	529	1271
147	532	1266
148	536	1262
149	539	1259
150	543	1255
151	546	1250
152	549	1247
153	555	1247
154	558	1243
155	562	1239
156	566	1237
157	572	1238
158	576	1235
159	580	1232
160	586	1234
161	589	1230
162	593	1227
163	597	1223
